UID,Key,EN,CN
1,goal_lv101,Set all cells to 8,将所有格子变为8
2,goal_lv102,Set all cells to 10,将所有格子变为10
3,goal_lv103,Set all cells to 1,将所有格子变为1
4,goal_lv104,Set all cells to UNIQUE,将所有格子变为不同的值
5,goal_lv105,Set all cells to 3,将所有格子变为3
6,goal_lv106,Set all cells to 4,将所有格子变为4
7,goal_lv107,Set all cells to UNIQUE(at least 8 steps),将所有格子变为不同的值（最少需要8步）
8,goal_lv108,Set all cells to 6(at least 35 steps),将所有格子变为6（最少需要35步）
9,goal_lv201,Set all cells to 4,将所有格子变为4
10,goal_lv202,Set all cells to 4,将所有格子变为4
11,goal_lv203,Set all cells to SAME,将所有格子变为相同的值
12,goal_lv204,Set at least 2 cells to 9,将至少2个格子变为9
13,goal_lv205,Set at least 2 cells to 1,将至少2个格子变为1
14,goal_lv206,Set all cells to SAME,将所有格子变为相同的值
15,goal_lv207,Set all cells to UNIQUE,将所有格子变为不同的值
16,goal_lv208,Set all cells to SAME,将所有格子变为相同的值
17,goal_lv401,Set at least 3 cells to 3,将至少3个格子变为3
18,goal_lv402,Set at least 5 cells to 5,将至少5个格子变为5
19,goal_lv403,Set all cells to 4,将所有格子变为4
20,goal_lv404,Set all cells to 7,将所有格子变为7
21,goal_lv405,Set all cells to either 2 or 7,将所有格子为2或7
22,goal_lv406,Set all cells to UNIQUE,将所有格子变为不同值
23,goal_lv407,Set the sum of cells to 20,每个格子都有食物时，<br>将数字总和变为20
24,goal_lv408,Set the sum of cells to 82,每个格子都是寿司或饭团时，<br>将数字总和变为82
25,goal_lv501,,让所有格子为7
26,goal_lv502,,让所有格子成为相同数字
27,goal_lv503,,让所有格子成为相同数字
28,goal_lv504,,让数字总和下降至20以下
29,goal_lv505,,让左侧一列格子为0
30,goal_lv506,,将所有格子变成不同值
31,goal_lv507,,让所有格子回归初值
32,goal_lv508,,月食时，让所有格子回归初值
33,goal_lv601,1+ cell is ON.,点亮1盏灯泡
34,goal_lv602,5+ cells are ON.,点亮5盏灯泡
35,goal_lv603,4+ cells are ON.,点亮4盏灯泡
36,goal_lv604,6+ cells are ON.,点亮6盏灯泡
37,goal_lv605,Turn on 4 cells simultaneously.,一次性点亮4盏灯泡
38,goal_lv606,Turn on 8 cells simultaneously.,一次性点亮8盏灯泡
39,goal_lv607,"Use actions. <br>Meanwhile, keep the number of ON cells stays between 4 to 6.",用完所有灯泡，<br>保持点亮的灯泡<br>在4-6盏之间
40,goal_lv608,All cells are ON.,点亮全部灯泡
41,init_lv101,Clock,溜走的时间
42,init_lv102,"Tick, tick, tick,",滴答滴答滴答，
43,init_lv103,,时钟不知疲倦地前进。
44,init_lv104,,微博、连载、直播，
45,init_lv105,,时间在你的指尖默默滑动。
46,init_lv106,,夜的旅者，
47,init_lv107,,拖着疲惫的身躯，
48,init_lv108,,意识逐渐模糊，
49,init_lv201,,来自硬币的命运
50,init_lv202,,硬币有无数种形式。
51,init_lv203,,它穿越历史，
52,init_lv204,,正面象征前进，
53,init_lv205,,反面代表保留，
54,init_lv206,,两面交错，
55,init_lv207,,你再次投掷，
56,init_lv208,,不甘于此，
57,init_lv401,,寿司的精致
58,init_lv402,,你夹起一片鱼生，
59,init_lv403,,拿起一团白饭，
60,init_lv404,,轻轻捏合，
61,init_lv405,,缓缓卷起，
62,init_lv406,,仅用两种原料，
63,init_lv407,,来自大地与深海的碰撞，
64,init_lv408,,用对食材的尊重，
65,init_lv501,Moon,月的规律
66,init_lv502,,亏盈交替，
67,init_lv503,,亘古不变的，
68,init_lv504,,突如其来的月食，
69,init_lv505,,借着微弱光辉，
70,init_lv506,,用反思和总结，
71,init_lv507,,表面的无序，
72,init_lv508,,在曲折中领悟，
73,init_lv601,Lightbulb,灵感之光
74,init_lv602,,电灯总用来代表灵感。
75,init_lv603,,火花在脑中跃动，
76,init_lv604,,思路逐渐便变得清晰。
77,init_lv605,,光明涌现，
