UID,Key,EN,CN
1,goal_lv101,Set all cells to 8,将所有格子变为8
2,goal_lv102,Set all cells to 10,将所有格子变为10
3,goal_lv103,Set all cells to 1,将所有格子变为1
4,goal_lv104,Set all cells to UNIQUE,将所有格子变为不同的值
5,goal_lv105,Set all cells to 3,将所有格子变为3
6,goal_lv106,Set all cells to 4,将所有格子变为4
7,goal_lv107,Set all cells to UNIQUE(at least 8 steps),将所有格子变为不同的值（最少需要8步）
8,goal_lv108,Set all cells to 6(at least 35 steps),将所有格子变为6（最少需要35步）
9,goal_lv201,Set all cells to 4,将所有格子变为4
10,goal_lv202,Set all cells to 4,将所有格子变为4
11,goal_lv203,Set all cells to SAME,将所有格子变为相同的值
12,goal_lv204,Set at least 2 cells to 9,将至少2个格子变为9
13,goal_lv205,Set at least 2 cells to 1,将至少2个格子变为1
14,goal_lv206,Set all cells to SAME,将所有格子变为相同的值
15,goal_lv207,Set all cells to UNIQUE,将所有格子变为不同的值
16,goal_lv208,Set all cells to SAME,将所有格子变为相同的值
17,goal_lv401,Set at least 3 cells to 3,将至少3个格子变为3
18,goal_lv402,Set at least 5 cells to 5,将至少5个格子变为5
19,goal_lv403,Set all cells to 4,将所有格子变为4
20,goal_lv404,Set all cells to 7,将所有格子变为7
21,goal_lv405,Set all cells to either 2 or 7,将所有格子为2或7
22,goal_lv406,Set all cells to UNIQUE,将所有格子变为不同值
23,goal_lv407,Set the sum of cells to 20,每个格子都有食物时，<br>将数字总和变为20
24,goal_lv408,Set the sum of cells to 82,每个格子都是寿司或饭团时，<br>将数字总和变为82
25,goal_lv501,,让所有格子为7
26,goal_lv502,,让所有格子成为相同数字
27,goal_lv503,,让所有格子成为相同数字
28,goal_lv504,,让数字总和下降至10以下
29,goal_lv505,,让左侧一列格子为0
30,goal_lv506,,让所有格子为偶数
31,goal_lv507,,让所有格子回归初值
32,goal_lv508,,月食时，让所有格子回归初值
33,goal_lv601,1+ cell is ON.,点亮1盏灯泡
34,goal_lv602,5+ cells are ON.,点亮5盏灯泡
35,goal_lv603,4+ cells are ON.,点亮4盏灯泡
36,goal_lv604,6+ cells are ON.,点亮6盏灯泡
37,goal_lv605,Turn on 4 cells simultaneously.,一次性点亮4盏灯泡
38,goal_lv606,Turn on 8 cells simultaneously.,一次性点亮8盏灯泡
39,goal_lv607,"Use actions. <br>Meanwhile, keep the number of ON cells stays between 4 to 6.",用完所有灯泡，<br>保持点亮的灯泡<br>在4-6盏之间
40,goal_lv608,All cells are ON.,点亮全部灯泡
41,intro_line_1,"Friday night. Get back home, <b>things</b> emerges from darkness.",周五晚上，打开房门，回到漆黑的家中，黑暗之中<b>万物</b>浮现。
42,intro_line_2,"On the way to work, passing through a river, <b>things</b> emerges from the voice of the winds",走在上班的路上，路过一条小河，树叶的婆娑声中夹杂着<b>万物</b>。
43,levelname_lv101,001,001
44,levelname_lv102,002,002
45,levelname_lv103,003,003
46,levelname_lv104,004,004
47,levelname_lv105,005,005
48,levelname_lv106,006,006
49,levelname_lv107,007,007
50,levelname_lv108,008,008
51,levelname_lv201,001,001
52,levelname_lv202,002,002
53,levelname_lv203,003,003
54,levelname_lv204,004,004
55,levelname_lv205,005,005
56,levelname_lv206,006,006
57,levelname_lv207,007,007
58,levelname_lv208,008,008
59,levelname_lv401,001,001
60,levelname_lv402,002,002
61,levelname_lv403,003,003
62,levelname_lv404,004,004
63,levelname_lv405,005,005
64,levelname_lv406,006,006
65,levelname_lv407,007,007
66,levelname_lv408,008,008
67,levelname_lv501,001,001
68,levelname_lv502,002,002
69,levelname_lv503,003,003
70,levelname_lv504,004,004
71,levelname_lv505,005,005
72,levelname_lv506,006,006
73,levelname_lv507,007,007
74,levelname_lv508,008,008
75,levelname_lv601,001,001
76,levelname_lv602,002,002
77,levelname_lv603,003,003
78,levelname_lv604,004,004
79,levelname_lv605,005,005
80,levelname_lv606,006,006
81,levelname_lv607,007,007
